Ronda;Fecha;Local;Vistante;Goles Local;Goles Visitante;Total Goles;Resultado
14;2023-11-26 00:00:00;Villarreal;Osasuna;3;1;4;Home
14;2023-11-25 00:00:00;Atl. Madrid;Mallorca;1;0;1;Home
14;2023-11-25 00:00:00;Getafe;Almeria;2;1;3;Home
14;2023-11-25 00:00:00;Valencia;Celta Vigo;0;0;0;Tie
14;2023-11-25 00:00:00;Rayo Vallecano;Barcelona;1;1;2;Tie
14;2023-11-24 00:00:00;Alaves;Granada CF;3;1;4;Home
13;2023-11-12 00:00:00;Atl. Madrid;Villarreal;3;1;4;Home
13;2023-11-12 00:00:00;Sevilla;Betis;1;1;2;Tie
13;2023-11-12 00:00:00;Barcelona;Alaves;2;1;3;Home
13;2023-11-11 00:00:00;Real Madrid;Valencia;5;1;6;Home
13;2023-11-11 00:00:00;Granada CF;Getafe;1;1;2;Tie
13;2023-11-11 00:00:00;Osasuna;Las Palmas;1;1;2;Tie
13;2023-11-11 00:00:00;Almeria;Real Sociedad;1;3;4;Away
13;2023-11-11 00:00:00;Rayo Vallecano;Girona;1;2;3;Away
13;2023-11-10 00:00:00;Ath Bilbao;Celta Vigo;4;3;7;Home
12;2023-11-06 00:00:00;Getafe;Cadiz CF;1;0;1;Home
12;2023-11-05 00:00:00;Real Madrid;Rayo Vallecano;0;0;0;Tie
12;2023-11-05 00:00:00;Villarreal;Ath Bilbao;2;3;5;Away
12;2023-11-05 00:00:00;Valencia;Granada CF;1;0;1;Home
12;2023-11-05 00:00:00;Alaves;Almeria;1;0;1;Home
12;2023-11-04 00:00:00;Real Sociedad;Barcelona;0;1;1;Away
12;2023-11-04 00:00:00;Celta Vigo;Sevilla;1;1;2;Tie
12;2023-11-04 00:00:00;Betis;Mallorca;2;0;2;Home
12;2023-11-04 00:00:00;Osasuna;Girona;2;4;6;Away
12;2023-11-03 00:00:00;Las Palmas;Atl. Madrid;2;1;3;Home
11;2023-10-30 00:00:00;Granada CF;Villarreal;2;3;5;Away
11;2023-10-29 00:00:00;Atl. Madrid;Alaves;2;1;3;Home
11;2023-10-29 00:00:00;Ath Bilbao;Valencia;2;2;4;Tie
11;2023-10-29 00:00:00;Rayo Vallecano;Real Sociedad;2;2;4;Tie
11;2023-10-29 00:00:00;Betis;Osasuna;2;1;3;Home
11;2023-10-28 00:00:00;Cadiz CF;Sevilla;2;2;4;Tie
11;2023-10-28 00:00:00;Mallorca;Getafe;0;0;0;Tie
11;2023-10-28 00:00:00;Barcelona;Real Madrid;1;2;3;Away
11;2023-10-28 00:00:00;Almeria;Las Palmas;1;2;3;Away
11;2023-10-27 00:00:00;Girona;Celta Vigo;1;0;1;Home
10;2023-10-23 00:00:00;Valencia;Cadiz CF;2;0;2;Home
10;2023-10-22 00:00:00;Barcelona;Ath Bilbao;1;0;1;Home
10;2023-10-22 00:00:00;Villarreal;Alaves;1;1;2;Tie
10;2023-10-22 00:00:00;Girona;Almeria;5;2;7;Home
10;2023-10-22 00:00:00;Las Palmas;Rayo Vallecano;0;1;1;Away
10;2023-10-21 00:00:00;Celta Vigo;Atl. Madrid;0;3;3;Away
10;2023-10-21 00:00:00;Sevilla;Real Madrid;1;1;2;Tie
10;2023-10-21 00:00:00;Getafe;Betis;1;1;2;Tie
10;2023-10-21 00:00:00;Real Sociedad;Mallorca;1;0;1;Home
